,0,1
0,25.0,0.0
1,25.0,0.0
2,25.0,0.0
3,25.0,0.0
4,25.0,0.0
5,25.0,0.0
6,25.0,0.0
7,25.0,0.0
8,25.0,0.0
9,25.0,0.0
10,25.0,0.0
11,25.0,0.0
12,25.0,0.0
13,25.0,0.0
14,25.0,0.0
15,25.0,0.0
16,25.0,0.0
17,25.0,0.0
18,25.0,0.0
19,25.0,0.0
20,25.0,0.0
21,25.0,0.0
22,25.0,0.0
23,25.0,0.0
24,25.0,0.0
25,25.0,0.0
26,25.0,0.0
27,25.0,0.0
28,25.0,0.0
29,25.0,0.0
30,25.0,0.0
31,25.0,0.0
32,25.0,0.0
33,25.0,0.0
34,25.0,0.0
35,25.0,0.0
36,25.0,0.0
37,25.0,0.0
38,25.0,0.0
39,25.0,0.0
40,25.0,0.0
41,25.0,0.0
42,25.0,0.0
43,25.0,0.0
44,25.0,0.0
45,25.0,0.0
46,25.0,0.0
47,25.0,0.0
48,25.0,0.0
49,25.0,0.0
50,25.0,0.0
51,25.0,0.0
52,25.0,0.0
53,25.0,0.0
54,25.0,0.0
55,25.0,0.0
56,25.0,0.0
57,25.0,0.0
58,25.0,0.0
59,25.0,0.0
60,25.0,0.0
61,25.0,0.0
62,25.0,0.0
63,25.0,0.0
64,25.0,0.0
65,25.0,0.0
66,25.0,0.0
67,25.0,0.0
68,25.0,0.0
69,25.0,0.0
70,36.0,0.052631579000000005
71,36.0,0.293103448
72,36.0,0.06557377
73,36.0,0.191489362
74,36.0,0.050847458
75,36.0,0.018518519
76,36.0,0.181818182
77,36.0,0.264150943
78,36.0,0.181818182
79,36.0,0.050847458
80,36.0,0.016949153
81,36.0,0.17857142899999998
82,36.0,0.017241378999999998
83,36.0,0.379310345
84,36.0,0.172413793
85,36.0,0.035714286
86,36.0,0.20689655199999998
87,36.0,0.1
88,36.0,0.0
89,36.0,0.169491525
90,36.0,0.118644068
91,36.0,0.155172414
92,36.0,0.017241378999999998
93,36.0,0.125
94,36.0,0.20338983100000002
95,36.0,0.19642857100000002
96,36.0,0.017241378999999998
97,36.0,0.20370370399999999
98,36.0,0.019230768999999998
99,36.0,0.272727273
100,36.0,0.035714286
101,36.0,0.033898305
102,36.0,0.0
103,36.0,0.0
104,36.0,0.052631579000000005
105,36.0,0.033898305
106,36.0,0.310344828
107,36.0,0.20689655199999998
108,36.0,0.0
109,36.0,0.033898305
110,36.0,0.10526315800000001
111,36.0,0.083333333
112,36.0,0.20370370399999999
113,36.0,0.019230768999999998
114,36.0,0.115384615
115,36.0,0.228070175
116,36.0,0.21666666699999998
117,36.0,0.172413793
118,36.0,0.051724137999999996
119,36.0,0.034482759
120,36.0,0.017241378999999998
121,36.0,0.016949153
122,36.0,0.346153846
123,36.0,0.37037037
124,36.0,0.25
