article No. , Words , sentences , Luhn Rouge1 , Luhn Rouge2 , TextRank-Word_count Rouge1 , TextRank-Word_count Rouge2 , TextRank-word2vec Rouge1 , TextRank-word2vec Rouge2
70,324,18,0.387755102,0.116666667,0.265306122,0.083333333,0.428571429,0.15
71,676,26,0.431372549,0.052631579,0.392156863,0.052631579,0.333333333,0.01754386
72,256,16,0.346153846,0.050847458,0.269230769,0.016949153,0.269230769,0.050847458
73,225,15,0.279069767,0.039215686,0.651162791,0.333333333,0.511627907,0.274509804
74,225,15,0.22,0.016949153,0.36,0.101694915,0.38,0.186440678
75,196,14,0.404255319,0.1,0.212765957,0.016666667,0.404255319,0.1
76,169,13,0.304347826,0.089285714,0.282608696,0.107142857,0.391304348,0.178571429
77,1296,36,0.644444444,0.301886792,0.666666667,0.301886792,0.644444444,0.283018868
78,64,8,0.4,0.288135593,0.04,0,0.04,0
79,196,14,0.666666667,0.518518519,0.642857143,0.37037037,0.666666667,0.518518519
80,144,12,0.382978723,0.133333333,0.276595745,0.033333333,0.659574468,0.483333333
81,484,22,0.490196078,0.263157895,0.431372549,0.192982456,0.37254902,0.140350877
82,169,13,0.261904762,0.074074074,0.357142857,0.111111111,0.285714286,0.055555556
84,289,17,0.545454545,0.316666667,0.6,0.316666667,0.545454545,0.35
85,400,20,0.705882353,0.245614035,0.607843137,0.192982456,0.68627451,0.210526316
86,841,29,0.458333333,0.053571429,0.4375,0.017857143,0.354166667,0.035714286
87,169,13,0.306122449,0.101694915,0.346938776,0.101694915,0.306122449,0.101694915
88,529,23,0.68627451,0.305084746,0.725490196,0.338983051,0.588235294,0.254237288
89,324,18,0.37254902,0.083333333,0.333333333,0.083333333,0.509803922,0.183333333
90,64,8,0.347826087,0.192982456,0.065217391,0,0.065217391,0
91,361,19,0.265306122,0.033333333,0.285714286,0.05,0.489795918,0.15
92,81,9,0.130434783,0.01754386,0.043478261,0,0.043478261,0
93,256,16,0.446808511,0.13559322,0.574468085,0.186440678,0.29787234,0.050847458
94,256,16,0.42,0.107142857,0.42,0.107142857,0.52,0.214285714
95,64,8,0.191489362,0.036363636,0.042553191,0,0.042553191,0
96,289,17,0.651162791,0.365384615,0.76744186,0.365384615,0.744186047,0.365384615
97,64,8,0.568181818,0.436363636,0.045454545,0,0.045454545,0
98,225,15,0.391304348,0.107142857,0.304347826,0.071428571,0.239130435,0.017857143
99,121,11,0.104166667,0,0.416666667,0.166666667,0.270833333,0.066666667
101,225,15,0.270833333,0.016949153,0.5,0.237288136,0.5625,0.372881356
102,100,10,0.590909091,0.403508772,0.613636364,0.421052632,0.681818182,0.614035088
103,729,27,0.448979592,0.133333333,0.510204082,0.116666667,0.795918367,0.333333333
104,121,11,0.145454545,0.033898305,0.309090909,0.084745763,0.345454545,0.084745763
105,64,8,0.4375,0.24137931,0.020833333,0,0.020833333,0
106,169,13,0.551020408,0.254545455,0.469387755,0.090909091,0.551020408,0.254545455
107,324,18,0.431372549,0.220338983,0.235294118,0.016949153,0.490196078,0.322033898
108,676,26,0.641509434,0.35,0.679245283,0.35,0.905660377,0.683333333
109,256,16,0.2,0.035087719,0.22,0.01754386,0.5,0.245614035
111,169,13,0.188679245,0,0.490566038,0.322033898,0.226415094,0.101694915
